source,record_id_or_url,title,year,doi,cited_by_count,type,search_topic
openalex,https://openalex.org/W1582777122,"""A Framework for agent-based computational economics in economic geography""",2006,,1,article,
openalex,https://openalex.org/W371439012,Progress in artificial economics : computational and agent-based models,2010,10.1007/978-3-642-13947-5,13,article,
openalex,https://openalex.org/W3173939527,Introduction to the Special Issue on Agent-Based Computational Economics,2021,10.1007/s10614-021-10141-6,1,editorial,
openalex,https://openalex.org/W1977288176,Some Uses of Happiness Data in Economics,2006,10.1257/089533006776526111,907,article,
openalex,https://openalex.org/W4245880239,Computational psychiatry,2011,10.1016/j.tics.2011.11.018,858,review,
openalex,https://openalex.org/W2182667408,An Agent-Based Computational Economics Approach To Technology Adoption Timing And The Emergence Of Dominant Designs,2011,10.19030/jber.v9i2.1821,2,article,
openalex,https://openalex.org/W2501607447,Simon’s (Lost?) Legacy in Agent-Based Computational Economics,2016,10.1057/9781137442505_8,1,book-chapter,
openalex,https://openalex.org/W2100746011,The Economics of Human Development and Social Mobility,2014,10.1146/annurev-economics-080213-040753,952,review,
openalex,https://openalex.org/W2084046180,Lexicon-Based Methods for Sentiment Analysis,2011,10.1162/coli_a_00049,3299,article,
openalex,https://openalex.org/W2166271455,Decomposition Methods in Economics,2010,10.3386/w16045,745,report,
openalex,https://openalex.org/W2337524925,Macroeconomic Policy in DSGE and Agent-Based Models Redux: New Developments and Challenges Ahead,2016,10.2139/ssrn.2763735,99,preprint,
openalex,https://openalex.org/W2550336284,New methods for energy market modelling : Proceedings of the First European Workshop on Energy Market Modelling using Agent-Based Computational Economics,2008,10.5445/ksp/1000008067,2,conference-paper,
openalex,https://openalex.org/W2147657899,Evolving market structure: An ACE model of price dispersion and loyalty,2001,10.1016/s0165-1889(00)00033-6,258,article,
openalex,https://openalex.org/W1964610230,Validating Simulation Models: A General Framework and Four Applied Examples,2007,10.1007/s10614-007-9101-7,172,article,
openalex,https://openalex.org/W1971441460,Methods for task allocation via agent coalition formation,1998,10.1016/s0004-3702(98)00045-9,1090,article,
openalex,https://openalex.org/W4312503603,Model Building and Description Using the Agent-Based Computational Economics Framework for Accounting,2022,10.2139/ssrn.4243024,1,preprint,
openalex,https://openalex.org/W1965294480,Empirical Validation in Agent-based Models: Introduction to the Special Issue,2007,10.1007/s10614-007-9109-z,76,editorial,
openalex,https://openalex.org/W2805620539,"Pure Agent-based Computational Economics of Time, Knowledge and Procedural Rationality with an Application to Environmental Economics",2016,10.13140/rg.2.2.10821.76001,1,dissertation,
openalex,https://openalex.org/W136649052,"Handbook of Computational Economics, Volume 2: Agent-Based Computational Economics (Handbook of Computational Economics)",2006,,1,book,
openalex,https://openalex.org/W3188759193,Workforce Diversity in Decision-Making Organizations: A Perspective from Agent-Based Computational Economics,2021,10.1142/s1793005722500181,1,article,
openalex,https://openalex.org/W2788476362,Agent-Based Models in Economics: A Toolkit,2018,10.1017/9781108227278,39,article,
openalex,https://openalex.org/W3134967399,Review on Ammonia as a Potential Fuel: From Synthesis to Economics,2021,10.1021/acs.energyfuels.0c03685,1050,article,
openalex,https://openalex.org/W3126994326,Foundations of complexity economics,2021,10.1038/s42254-020-00273-3,361,review,
openalex,https://openalex.org/W2381549245,Application of Cooperative Particle Swarm Algorithm in Agent-Based Computational Economics Simulation of Electricity Market,2010,,1,article,
openalex,https://openalex.org/W2025689941,Romulus-Catalin Damaceanu: Agent-based computational economics using netlogo,2013,10.1007/s00191-013-0311-y,1,article,
openalex,https://openalex.org/W2031753087,"Fractional Brownian Motions, Fractional Noises and Applications",1968,10.1137/1010093,7778,article,
openalex,https://openalex.org/W1500711195,Agent-based Modeling and Simulation of Competitive Wholesale Electricity Markets,2010,10.1007/978-3-642-12686-4_9,58,book-chapter,
openalex,https://openalex.org/W1926550788,Agent‐based models in sociology,2015,10.1002/wics.1356,147,article,
openalex,https://openalex.org/W1789388849,"Behavioral Economics: Past, Present, Future",2003,,737,book-chapter,
openalex,https://openalex.org/W2011210787,Guest editorial agent-based modeling of evolutionary economic systems,2001,10.1109/tevc.2001.956708,47,editorial,
openalex,https://openalex.org/W2129755323,Monopoly Market with Externality: an Analysis with Statistical Physics and Agent Based Computational Economics,2003,10.48550/arxiv.cond-mat/0311096,1,preprint,
